Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_yellow_time,mean_N_queue_yellow,mean_service_yellow_time,mean_response_yellow_time,mean_N_centre_yellow,yellow_rho,mean_queue_green_squadra_time,mean_N_queue_green_squadra,mean_service_green_squadra_time,mean_response_green_squadra_time,mean_N_centre_green_squadra,green_squadra_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_arrived,red_job_arrived,yellow_job_arrived,green_job_arrived,job_completed_percentage,red_job_completed_percentage,yellow_job_completed_percentage,green_job_completed_percentage
1,0.0,0.0,1.6753323925867256,1.6753323925867256,0.012963881609302045,0.006481940804651022,5.571678741240685,0.021004344461026392,62.33834134454721,67.9100200857879,0.25600999635515276,0.2350056518941264,21.517817983405752,0.05123289996048989,84.32279450994362,108.24713687639276,0.25200145831749854,0.2007685583570086,0.0,0.0,130.96189458302447,107.95095561397498,0.11693026302055758,0.11693026302055758,0.0,0.0,86.50269710894739,86.50269710894739,0.06007131743676902,0.06007131743676902,78,38,24,16,0.8333333333333334,1.0,0.7083333333333334,0.625
2,0.0,0.0,1.5916747939044382,1.5916747939044382,0.013579765106724375,0.006789882553362187,15.877140549947814,0.08663122323880255,62.49347204986644,78.37061259981427,0.42761742986009765,0.3409862066212951,50.35584338155582,0.11489924581108968,78.48072037829162,146.54764125060805,0.29397231810282654,0.17907307229173686,0.0,0.0,71.85242446429316,120.58090288575308,0.014256433425454993,0.014256433425454993,0.0,0.0,205.15560048375647,205.15560048375647,0.10176369071614903,0.10176369071614903,86,55,23,7,0.8488372093023255,1.0,0.5652173913043478,0.7142857142857143
3,0.0,0.0,1.679512854850187,1.679512854850187,0.015328887167283452,0.007664443583641726,15.359692014690655,0.07618894848556872,65.26568581907014,80.62537783376081,0.39992746941349605,0.3237385209279273,42.00943446806094,0.09168725776759332,74.15076013534514,133.69588741259105,0.25352423425346565,0.16183697648587234,17.81979486909795,0.017678367925692412,97.69831539446588,184.470510993633,0.11460129986464664,0.09692293193895424,0.0,0.0,284.79921812922,284.79921812922,0.2542850161868036,0.2542850161868036,92,50,22,19,0.8478260869565217,1.0,0.6818181818181818,0.6842105263157895
4,0.0,0.0,1.3958735858743583,1.3958735858743583,0.013709472718408874,0.006854736359204437,16.007814046954394,0.08734422347048529,59.015786524855315,75.0236005718097,0.4093549634374538,0.3220107399669685,36.8278968660282,0.08768546872863857,79.59007886380164,93.9784442711503,0.27718565649959487,0.18950018777095629,0.6650217794953278,0.0006597438288644125,110.21398042911024,105.5162955636023,0.10999901012758488,0.10933926629872047,0.0,0.0,141.5718133201641,141.5718133201641,0.1264034047501465,0.1264034047501465,99,55,24,19,0.797979797979798,1.0,0.5,0.631578947368421
5,0.0,0.0,1.70558424791188,1.70558424791188,0.015736045144425084,0.007868022572212542,13.421014780738512,0.07056684358920051,60.454891735393865,73.87590651613237,0.388434825928077,0.3178679823388765,92.88122895429946,0.2395745984932327,88.08520836979149,201.41952977586737,0.4667785089708694,0.22720391047763677,2.5152247360505107,0.0017466838444795214,174.61361149093725,77.04329817806288,0.12300613626874149,0.12125945242426198,0.0,0.0,274.1564757925786,274.1564757925786,0.19038644152262402,0.19038644152262402,93,53,26,14,0.8279569892473119,1.0,0.5769230769230769,0.6428571428571429
6,0.0,0.0,1.568870294183143,1.568870294183143,0.014007770483778062,0.007003885241889031,28.251928063439237,0.14854684398435314,70.67389113233972,98.92581919577896,0.5201456763270124,0.3715988323426592,94.47179929783358,0.23430505778232535,87.75789004927051,167.28827171647103,0.4519585549283336,0.21765349714600823,0.0,0.0,53.562134078939685,43.7395637748907,0.021254815110690353,0.021254815110690353,0.0,0.0,163.29951571380678,163.29951571380678,0.129602790249053,0.129602790249053,90,53,25,12,0.8666666666666667,1.0,0.64,0.75
7,0.0,0.0,1.6488240805688947,1.6488240805688947,0.014067348306440967,0.007033674153220483,8.455020111183243,0.035229250463263515,60.51611753432078,68.97113764550402,0.2873797401896001,0.2521504897263366,47.84311191521119,0.12340485216225107,78.5440696781113,167.70347066517516,0.3259986826811889,0.20259383051893787,0.0,0.0,76.65299984604827,114.97782647527686,0.08364910697485428,0.08364910697485428,0.0,0.0,88.11503789787459,88.11503789787459,0.052449427320163444,0.052449427320163444,86,42,26,17,0.8255813953488372,1.0,0.6538461538461539,0.7058823529411765
8,0.0,0.0,1.6913296689760866,1.6913296689760866,0.014429995191661056,0.007214997595830528,5.861881936017461,0.022098364441335668,48.97150832528613,54.83339026130359,0.20671317757237465,0.18461481313103897,33.05817404192212,0.09838742274381584,113.18328176317141,144.3391655042156,0.4352424279913498,0.336855005247534,0.0,0.0,134.31993493611483,172.73139984192068,0.14657929407710946,0.14657929407710946,0.0,0.0,128.70484811001012,128.70484811001012,0.08937836674306258,0.08937836674306258,86,38,30,18,0.7906976744186046,1.0,0.5333333333333333,0.7777777777777778
9,0.0,0.0,1.510798445252561,1.510798445252561,0.01229022544749107,0.006145112723745535,4.1256482380238495,0.015553038992550228,54.6734017209898,58.79904995901365,0.2216630851629483,0.20611004617039808,32.091992392431884,0.09551188212033299,85.85609086152452,123.53133374049698,0.35103596206534643,0.25552407994501347,30.61477465727759,0.021260260178664992,108.96569407565865,150.1302272539742,0.09693088106453905,0.07567062088587406,0.0,0.0,280.4668822352296,280.4668822352296,0.19476866821890945,0.19476866821890945,82,38,30,14,0.8780487804878049,1.0,0.8,0.7142857142857143
10,0.0,0.0,1.3180002821020858,1.3180002821020858,0.011506351669145194,0.005753175834572597,7.950323725653834,0.03549251663238319,52.73880607621533,60.68912980186916,0.27093361518691594,0.23544109855453274,12.013120387187303,0.026219111956162767,113.4322671240393,121.3016435395137,0.27378953623481994,0.2475704242786572,0.0,0.0,89.28541569668549,73.97828732356491,0.12400752180095206,0.12400752180095206,0.0,0.0,149.812823364085,149.812823364085,0.1040366828917257,0.1040366828917257,88,45,22,21,0.8522727272727273,1.0,0.8181818181818182,0.5714285714285714
11,0.0,0.0,1.4220263963315722,1.4220263963315722,0.01029840544962349,0.005149202724811745,6.964879226900749,0.02211072770444682,56.8228438284735,63.78772305537425,0.2025007081122992,0.1803899804078524,22.43354879116467,0.04673655998159307,61.07260440889833,93.4973646815879,0.17397115250013123,0.12723459251853816,0.0,0.0,136.3572483273762,164.50665622110492,0.13527504794382558,0.13527504794382558,14.045444314670526,0.012540575280955828,197.60487078129722,211.65031509596776,0.18897349562139978,0.17643292034044394,73,32,21,19,0.863013698630137,1.0,0.8095238095238095,0.7368421052631579
12,0.0,0.0,1.8785251715578848,1.8785251715578848,0.014536206684674109,0.007268103342337054,22.25339351860792,0.09051479506576635,67.97967530078117,90.23306881938909,0.36701942674553095,0.27650463167976463,54.34213481236317,0.14016820487315898,103.12916508548327,227.0436180529682,0.4061759719587309,0.26600776708557194,0.0,0.0,148.67466449915952,198.37058645007002,0.07374735342220214,0.07374735342220214,0.0,0.0,169.00399843490524,169.00399843490524,0.08383134843001253,0.08383134843001253,78,41,26,10,0.782051282051282,1.0,0.5384615384615384,0.6
13,0.0,0.0,1.6080454565930717,1.6080454565930717,0.017388586782603653,0.008694293391301827,14.729503799271411,0.07890805606752542,59.75241620771871,74.48192000699012,0.3990102857517328,0.3201022296842074,30.830879735366352,0.0978758086837027,82.59574923500037,116.91374308332888,0.3600845364138626,0.2622087277301599,1.0387420177874447,0.0010304980335192903,166.67565898689233,302.5853038908715,0.16638333433003946,0.16535283629652017,0.8274560074812392,0.0009029777859418284,107.26790111751635,108.09535712499759,0.11796120321180292,0.1170582254258611,109,56,32,21,0.8165137614678899,0.9464285714285714,0.6875,0.6666666666666666
14,0.0,0.0,1.6667155272985734,1.6667155272985734,0.016038829974996192,0.008019414987498096,10.044223331363577,0.040854479820030425,66.85117059287921,76.8953939242428,0.3127689633823368,0.27191448356230635,48.94676422713256,0.1262515743953816,85.20390796234459,144.17635079235902,0.34602355921888944,0.21977198482350785,54.0213018131525,0.11254437877740103,130.50411793370958,215.9258142669537,0.3844279578059627,0.27188357902856164,24.406667730376032,0.021791667616407173,415.68656808421,440.0932358145861,0.39294038912016616,0.371148721503759,97,41,26,30,0.7628865979381443,1.0,0.7307692307692307,0.4666666666666667
