Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_yellow_time,mean_N_queue_yellow,mean_service_yellow_time,mean_response_yellow_time,mean_N_centre_yellow,yellow_rho,mean_queue_green_squadra_time,mean_N_queue_green_squadra,mean_service_green_squadra_time,mean_response_green_squadra_time,mean_N_centre_green_squadra,green_squadra_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_arrived,red_job_arrived,yellow_job_arrived,green_job_arrived,job_completed_percentage,red_job_completed_percentage,yellow_job_completed_percentage,green_job_completed_percentage
1,0.0,0.0,1.5939507530011006,1.5939507530011006,0.013788243930550411,0.006894121965275206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.10285227319946,0.7934555118894235,173.0598144703324,343.1626667435319,1.600703960948387,0.8072484490589635,174.97837299814069,0.6891415323773666,190.60885602592097,365.5872290240617,1.4398427583385647,0.7507012259611983,1096,0,0,1095,0.9927007299270073,0.0,0.0,0.993607305936073
2,0.0005308933919665309,4.603154361480958e-06,1.4552660236243573,1.4557969170163239,0.012622605648134892,0.006309001246886705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.01542226684901,0.7544498021922097,177.8199731568668,344.83539542371585,1.5577064221687407,0.8032566199765311,201.77085747764153,0.8364257443040826,170.6277113541128,372.3985688317543,1.5437499448967307,0.7073242005926482,1096,0,0,1095,0.9972627737226277,0.0,0.0,0.9981735159817352
3,0.0,0.0,1.5593323559881929,1.5593323559881929,0.013481412231666273,0.0067407061158331364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.984239687171,0.7314653527088375,181.33137206263936,349.3156117498104,1.5210490438335564,0.7895836911247187,190.31388094932458,0.8136842245940513,164.8644245075453,355.1783054568699,1.518559669040935,0.7048754444468839,1096,0,0,1095,0.9963503649635036,0.0,0.0,0.9972602739726028
4,0.0,0.0,1.435230959884972,1.435230959884972,0.01244574037449232,0.00622287018724616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.3798216115321,0.6353542469906518,177.21866576956248,319.59848738109457,1.426172992710927,0.7908187457202752,176.40045196250713,0.7411098806695856,170.85658742444275,347.2570393869499,1.4589283653107386,0.7178184846411532,1096,0,0,1095,0.9972627737226277,0.0,0.0,0.9981735159817352
5,0.0,0.0,1.4946422295133381,1.4946422295133381,0.013238210870870175,0.006619105435435087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.65789514849615,1.1053476990426845,186.2216200001264,427.87951514862254,1.9571288463238634,0.8517811472811788,249.29422628042454,1.0576768908016714,183.1749681376892,432.4691944181138,1.8348305925269304,0.7771537017252591,1096,0,0,1095,0.9936131386861314,0.0,0.0,0.9945205479452055
6,0.0,0.0,1.4528651983178076,1.4528651983178076,0.012668635867702439,0.006334317933851219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.72185345839216,1.0034116168378877,173.94425259357834,393.6661060519705,1.7977690327588847,0.7943574159209971,235.53318367354953,0.9763011574263701,172.40309550887537,407.9362791824249,1.6909237811433446,0.7146226237169746,1096,0,0,1095,0.9990875912408759,0.0,0.0,1.0
7,0.0,0.0,1.5309975131478788,1.5309975131478788,0.013131533404576545,0.0065657667022882725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.81067274198784,0.6790089723431904,169.96886697062527,316.77953971261314,1.465126109037254,0.7861171366940636,170.11003986112556,0.670951126158121,175.7363557233263,345.8463955844519,1.3640936701005582,0.6931425439424371,1096,0,0,1095,0.9981751824817519,0.0,0.0,0.9990867579908675
8,0.00010790274330639164,9.411819439732943e-07,1.4812875430770456,1.481395445820352,0.012921475420984912,0.0064602671195204695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.7652396266967,1.0665826396900324,172.58738460150352,399.3526242282002,1.8783415695352887,0.8117589298452563,252.72276283163507,1.0136906569166748,183.0185611201925,435.74132395182755,1.747792339611041,0.7341016826943663,1096,0,0,1095,0.9972627737226277,0.0,0.0,0.9981735159817352
9,0.0,0.0,1.502670489027813,1.502670489027813,0.013617437277307076,0.006808718638653538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.17276515601756,0.994119058006465,173.37043748830095,378.5432026443185,1.8341470016323131,0.8400279436258481,220.36978563003416,0.927450849973655,180.82516338940312,401.1949490194373,1.688473741576769,0.7610228916031141,1096,0,0,1095,0.9990875912408759,0.0,0.0,1.0
10,0.0,0.0,1.513327533697741,1.513327533697741,0.012551762470132281,0.006275881235066141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.96851230402524,0.6936659104408233,182.69507341465348,342.66358571867875,1.4858802194191771,0.792214308978354,174.82497110004516,0.6906137045860965,176.34087139979405,351.1658424998392,1.387215692855041,0.6966019882689444,1096,0,0,1095,0.9981751824817519,0.0,0.0,0.9990867579908675
