Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_yellow_time,mean_N_queue_yellow,mean_service_yellow_time,mean_response_yellow_time,mean_N_centre_yellow,yellow_rho,mean_queue_green_squadra_time,mean_N_queue_green_squadra,mean_service_green_squadra_time,mean_response_green_squadra_time,mean_N_centre_green_squadra,green_squadra_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_arrived,red_job_arrived,yellow_job_arrived,green_job_arrived,job_completed_percentage,red_job_completed_percentage,yellow_job_completed_percentage,green_job_completed_percentage
1,0.0,0.0,1.5939507530011006,1.5939507530011006,0.013788243930550411,0.006894121965275206,7.252431741962875,0.009215799777067558,76.11016768353822,83.3625994255011,0.10593040410930872,0.09671460433224117,5.8809412214456165,0.004734460691784298,88.22137073549857,95.19844208073222,0.07575720963534131,0.07102274894355701,50.507844900743144,0.1949356192002628,154.79187697129703,211.7314445973029,0.7923566820840352,0.5974210628837724,59.51562816237622,0.16111970068627618,198.76728892000713,258.2829170823834,0.6992191392008051,0.5380994385145289,1096,161,102,832,0.8631386861313869,1.0,0.9411764705882353,0.828125
2,0.0005308933919665309,4.603154361480958e-06,1.4552660236243573,1.4557969170163239,0.012622605648134892,0.006309001246886705,8.364215562671234,0.012175328980384812,75.41984941909554,83.78406498176678,0.12195985945407248,0.10978453047368766,4.818207685066527,0.003926091397451941,82.10920186774261,92.79273811926329,0.07083234620745772,0.06690625481000578,64.90081776810706,0.2392620120668728,163.18549328742736,251.5646746302794,0.8408582755158321,0.6015962634489593,72.47544384364716,0.1949429193736293,181.51027933638275,253.98572318002988,0.6831654382517802,0.48822251887815094,1096,184,103,808,0.8604014598540146,0.9945652173913043,0.8737864077669902,0.8292079207920792
3,0.0,0.0,1.5593323559881929,1.5593323559881929,0.013481412231666273,0.0067407061158331364,4.916010207131752,0.0070965948156983165,69.69745234618999,74.61346255332174,0.10770960376954575,0.10061300895384744,6.274190800473055,0.00475132894493384,85.95468877110993,96.60643342255563,0.06984322903189999,0.06509190008696615,52.92199222705497,0.1903650298611901,167.20711976278477,243.39418024421659,0.7918236486161672,0.6014586187549771,70.47963882831505,0.20014848845221275,168.005661089755,238.48529991807004,0.6772519424077683,0.47710345395555565,1096,183,96,816,0.8704379562043796,1.0,0.8854166666666666,0.8406862745098039
4,0.0,0.0,1.435230959884972,1.435230959884972,0.01244574037449232,0.00622287018724616,3.3382032995972017,0.005071102625713828,71.17187213846859,74.51007543806578,0.11318910362400733,0.1081180009982935,13.940058157655454,0.012132370366946015,94.03141244878259,109.57000183377956,0.09397018689923811,0.0818378165322921,40.939282796697796,0.14964788887415292,154.50898650451276,215.9688304605132,0.7144341299352778,0.5647862410611248,42.64229195824106,0.11167524705517498,174.74355888987384,217.3858508481149,0.5693084842516526,0.45763323719647764,1096,192,110,793,0.8512773722627737,1.0,0.9,0.8095838587641866
5,0.0,0.0,1.4946422295133381,1.4946422295133381,0.013238210870870175,0.006619105435435087,6.336546086859678,0.009012530711108503,70.00879825302871,76.3453443398884,0.10858672075947849,0.09957419004836998,10.464530077716775,0.00896410815408734,92.23133932980178,107.19628616610942,0.08797116291990091,0.07900705476581357,55.31450583739536,0.2051791443332172,153.8564098388632,230.6067951609083,0.7758816398724091,0.570702495539192,67.16763489260677,0.19215195618196493,175.9021687212486,243.06980361385536,0.6953697019084617,0.5032177457264967,1096,176,106,813,0.8631386861313869,1.0,0.8867924528301887,0.8314883148831488
6,0.0,0.0,1.4528651983178076,1.4528651983178076,0.012668635867702439,0.006334317933851219,6.221281839491781,0.009948781946598883,70.19631190202144,76.41759374151322,0.1222034295556365,0.11225464760903762,13.251882588676137,0.01265181415606829,85.77178005990186,100.03637476738182,0.09453969792590558,0.0818878837698373,44.68948335673262,0.15786370179433618,160.71205474839218,232.31289107252195,0.725572209029362,0.5677085072350259,48.27430801489708,0.12674299790489604,178.87867772429018,227.15298573918724,0.5963845279097176,0.4696415300048217,1096,201,120,774,0.8458029197080292,1.0,0.8166666666666667,0.8113695090439277
7,0.0,0.0,1.5309975131478788,1.5309975131478788,0.013131533404576545,0.0065657667022882725,7.729141009376556,0.011492519118880936,71.69708692132205,79.4262279306986,0.11809946822380166,0.10660694910492072,15.4954531396395,0.01394544973803759,90.9953422227077,110.02623077742385,0.09583856766926463,0.08189311793122704,46.95215860807532,0.16755246043142707,164.60653036572455,215.7453301741957,0.7549637740640666,0.5874113136326394,49.422219628699594,0.12918114111346102,184.22729158672888,233.64951121542845,0.6107194437273727,0.48153830261391173,1096,190,115,790,0.8458029197080292,1.0,0.808695652173913,0.8151898734177215
8,0.00010790274330639164,9.411819439732943e-07,1.4812875430770456,1.481395445820352,0.012921475420984912,0.0064602671195204695,6.384313270623702,0.010568371485288478,73.48480181504104,79.86911508566475,0.13221257207262668,0.12164420058733819,19.654002358315342,0.013608203742380528,101.89641881371311,116.33680218260736,0.08416010470159056,0.07055190095921003,50.83920558803381,0.18288064170931057,166.18608732847795,225.418313718811,0.7806912869044647,0.5978106451951541,65.44567828628986,0.18125532050754475,175.31652917028694,240.76220745657682,0.6668038627049844,0.4855485421974397,1096,208,87,800,0.8576642335766423,1.0,0.8390804597701149,0.82375
9,0.0,0.0,1.502670489027813,1.502670489027813,0.013617437277307076,0.006808718638653538,4.9568153772859,0.0072133413309105,73.1685187672699,78.1253341445558,0.11369087990618003,0.10647753857526952,10.410515309878065,0.011018012705926736,77.46599227661635,90.79851718354138,0.09300447175960239,0.08198645905367564,49.39390520441927,0.1813332335809007,165.34133301508376,226.44393021120555,0.7883287411464616,0.6069955075655609,52.919824797348106,0.15183396890065107,174.64979402962425,227.56961882697235,0.6529273020087366,0.5010933331080857,1096,176,128,791,0.8594890510948905,1.0,0.84375,0.831858407079646
10,0.0,0.0,1.513327533697741,1.513327533697741,0.012551762470132281,0.006275881235066141,3.0432486841750963,0.0041684753908624505,70.36645562328002,73.40970430745512,0.10055259284177168,0.09638411745090922,4.98798255470562,0.003623742946849626,94.41830526703184,101.85063867554048,0.07221814238838785,0.06859439944153822,35.58249909668513,0.12817538301247622,153.91794857601218,214.8908085641222,0.6826190705572582,0.554443687544782,37.00083802285133,0.09576325307264598,174.8008091467069,211.8016471695582,0.5481717664495929,0.45240851337694693,1096,181,96,818,0.8549270072992701,1.0,0.8541666666666666,0.823960880195599
11,0.0,0.0,1.5014062961377832,1.5014062961377832,0.013225327701364007,0.0066126638506820035,5.7300318537396375,0.00828947825022244,69.22857964620938,74.95861149994901,0.10844054545528792,0.10015106720506549,9.162287695879241,0.008762913826848684,92.62388205789891,104.08030827582668,0.09734942450219101,0.08858651067534233,57.696925563023804,0.20959878548566835,154.95695943282536,252.22319136329295,0.7725194295708506,0.5629206440851823,74.61413409562005,0.20568985801828701,174.85192738266198,249.46606147828203,0.6877066843674758,0.4820168263491888,1096,180,119,796,0.8567518248175182,1.0,0.8739495798319328,0.8228643216080402
12,2.031480930881561e-06,1.7397229385932137e-08,1.488978671348085,1.488980702829016,0.012751357123052955,0.006375669862911784,4.335512484983451,0.005623482070583817,75.7803323761155,80.11584486109895,0.10391620799306366,0.09829272592247984,12.685033657405281,0.010605525368523851,86.57657410825024,99.94289503439633,0.08298925550462098,0.07238373013609713,61.624105885546776,0.22534777259283081,164.94575943367363,237.0966111702141,0.8285234122693993,0.6031756396765684,70.94161285879616,0.19622805787636438,179.65883451294025,250.60044737173644,0.6931734014644216,0.49694534358805736,1096,166,107,822,0.8677007299270073,1.0,0.8411214953271028,0.8454987834549879
13,0.0003550958113972587,3.246972239020993e-06,1.48913656241601,1.4894916582274074,0.013619811637561525,0.006808282332661252,4.599192034672526,0.006638196720952251,66.34887952406443,70.94807155873696,0.10240217247476326,0.095763975753811,22.47015128754204,0.02380850848135613,85.82253632004242,106.76256795228257,0.11474276867924274,0.09093426019788661,64.47404722996414,0.24098245191826648,166.09275741268743,245.58564684779518,0.8617816982322707,0.6207992463140042,65.0024657414841,0.1881836022765507,177.0696022952586,242.0720680367427,0.7008040887996081,0.5126204865230575,1096,173,127,795,0.8567518248175182,1.0,0.8582677165354331,0.8264150943396227
14,0.0,0.0,1.6556511333666162,1.6556511333666162,0.014413450565597804,0.007206725282798902,4.967846103590883,0.007339553758798062,73.6649269645428,78.63277306813367,0.11617297579322595,0.10883342203442789,9.30120764629175,0.005762653683218394,88.1457365518551,102.04988641092264,0.0603742022817554,0.05461154859853701,46.4426049737032,0.1696926301680334,172.350822663165,218.61119379405423,0.7994304415138195,0.629737811345786,53.515168000013894,0.1577027914762786,169.1036972086171,222.61886520863095,0.6560311364186204,0.49832834494234185,1096,186,78,831,0.8704379562043796,0.9946236559139785,0.8589743589743589,0.8447653429602888
15,0.0,0.0,1.5133439580132348,1.5133439580132348,0.012765305523301287,0.0063826527616506435,5.626824754164913,0.008444637529859229,68.6048894355769,74.23171418974181,0.1114056234092741,0.10296098587941487,10.007451812825941,0.009242463963553254,82.72864616060018,92.03314298189281,0.08564718168729317,0.07640471772373991,38.914513511105,0.13896729317133236,156.83298347800948,203.83923154572466,0.6990322465133225,0.5600649533419901,40.50748311398076,0.098515678899647,190.56184913148357,231.06933224546432,0.5619690582847705,0.4634533793851235,1096,195,120,780,0.8594890510948905,1.0,0.9083333333333333,0.8179487179487179
16,0.0,0.0,1.5214416714894534,1.5214416714894534,0.012488396153686517,0.006244198076843259,8.470926257090953,0.013322661737761615,70.50396890365784,78.97489516074879,0.12420788259384156,0.11088522085607995,12.198287917413527,0.010780072773406424,88.11131466542,100.55194584644427,0.08864726124153546,0.07786718846812904,39.54388203212742,0.13593546993696662,150.0304081419946,193.2366681640109,0.651677804466679,0.5157423345297124,39.53615459893655,0.09119813315367042,180.0591693299905,219.59532392892703,0.5065410077117707,0.4153428745581004,1096,210,118,767,0.8667883211678832,1.0,0.8305084745762712,0.8370273794002607
17,0.0,0.0,1.4748299750763532,1.4748299750763532,0.012553615611217043,0.006276807805608521,4.126979767083405,0.006250046775661479,68.93915031511023,73.06613008219364,0.11065397857596218,0.1044039318003007,11.38328022345764,0.009636298434516027,72.06377218246935,82.88790015049243,0.07064050824358621,0.06100420980907018,52.61267815787661,0.1830563252635175,158.22303807363596,236.77749032168626,0.7335648516471583,0.5505085263836408,49.487320633548784,0.13182700253867394,184.0119231913756,233.4992438249244,0.6220079207040187,0.4901809181653446,1096,195,109,791,0.8677007299270073,1.0,0.8990825688073395,0.831858407079646
18,0.0,0.0,1.4892776615596008,1.4892776615596008,0.012631449284234503,0.006315724642117252,4.675882343369298,0.007490328648382576,74.92412080653017,79.60000314989945,0.12751180209881202,0.12002147345042943,10.090865281216875,0.007887088883339525,97.25731294881193,108.91750881580393,0.08390406566429846,0.07601697678095895,38.154978820912156,0.13464276222194302,160.096996053104,204.2490890073851,0.69959922237888,0.5649564601569369,43.41387616375776,0.11120479404083519,182.05873151739647,225.47260768115422,0.5775488648941338,0.4663440708532987,1096,207,101,787,0.8549270072992701,1.0,0.8613861386138614,0.8170266836086404
19,0.0,0.0,1.4368049625321124,1.4368049625321124,0.012001380954462173,0.006000690477231087,7.051586483288364,0.010425848616365465,73.2004271493013,80.25201363258967,0.1186534898600154,0.10822764124364992,13.911492043023667,0.012086523787817313,74.40566091665796,92.44357389140924,0.07673133599316513,0.06464481220534782,46.854992387757854,0.16497597181839715,160.66567189499395,223.41546717172383,0.7306782376383736,0.5657022658199765,52.291090053898785,0.12951912574544067,181.38003112091974,233.67112117481852,0.5787769827579431,0.4492578570125024,1096,194,114,787,0.8658759124087592,1.0,0.9035087719298246,0.8284625158831004
